AGRUPAMENTO MODAL;GEOGRAFIA/ TIPO LOJA;LOCALIZAÇÃO/ LOJA;DIA DA PRODUÇÃO;HORÁRIO FINAL DE CORTE PARA PRODUÇÃO;DIA ENTREGA (REAL);FREQUÊNCIA DE ENTREGA;ROTA / DESTINO
DESTINO LOJA;Convencional;1013 - MARACAJU;TERÇA-FEIRA;6;quinta-feira;SEMANAL;1013
DESTINO LOJA;Convencional;1013 - MARACAJU;QUINTA-FEIRA;6;sábado;SEMANAL;1013
DESTINO LOJA;Convencional;1013 - MARACAJU;SEXTA-FEIRA;20;segunda-feira;SEMANAL;1013
DESTINO LOJA;Convencional;105 - SANTO ANTONIO DA PLATINA;TERÇA-FEIRA;20;quarta-feira;SEMANAL;105
DESTINO LOJA;Convencional;105 - SANTO ANTONIO DA PLATINA;QUINTA-FEIRA;20;sexta-feira;SEMANAL;105
DESTINO LOJA;Convencional;105 - SANTO ANTONIO DA PLATINA;SÁBADO;16;segunda-feira;SEMANAL;105
DESTINO LOJA;Convencional;1062 - PARANAIBA;TERÇA-FEIRA;6;quarta-feira;SEMANAL;1062
DESTINO LOJA;Convencional;1062 - PARANAIBA;QUINTA-FEIRA;6;sexta-feira;SEMANAL;1062
DESTINO LOJA;Convencional;1189 - SANTA CRUZ DO RIO PARDO;SEGUNDA-FEIRA;18;terça-feira;SEMANAL;1189
DESTINO LOJA;Convencional;1189 - SANTA CRUZ DO RIO PARDO;QUARTA-FEIRA;18;quinta-feira;SEMANAL;1189
DESTINO LOJA;Convencional;1189 - SANTA CRUZ DO RIO PARDO;SEXTA-FEIRA;18;sábado;SEMANAL;1189
DESTINO LOJA;Convencional;141 - DOURADOS;TERÇA-FEIRA;6;quarta-feira;SEMANAL;141
DESTINO LOJA;Convencional;141 - DOURADOS;QUARTA-FEIRA;6;quinta-feira;SEMANAL;141
DESTINO LOJA;Convencional;141 - DOURADOS;QUINTA-FEIRA;6;sexta-feira;SEMANAL;141
